env,condition,seed,env_reward_mean,skill_reward_mean,eval_episode_return_mean,eval_success_rate,eval_goal_metric,mask_violation_rate,wall_s
CheetahRun,llm_initial,3,0.5174804925918579,6.674830436706543,724.6341552734375,0.8676172494888306,7.256810188293457,0.0,886.7490944862366
CheetahRun,llm_initial,4,0.827889621257782,10.670650482177734,765.6700439453125,0.9082969427108765,7.668550491333008,0.0,870.8267540931702
Go1JoystickFlatTerrain,hand_written,0,0.007815234363079071,1.398324728012085,6.406219482421875,0.2535631060600281,-0.9882248640060425,0.0,380.8413841724396
Go1JoystickFlatTerrain,hand_written,1,0.006941611412912607,1.3821691274642944,5.787473678588867,0.30542993545532227,-0.9054564833641052,0.0,449.78390765190125
Go1JoystickFlatTerrain,hand_written,2,0.006243039853870869,1.3957422971725464,4.459421157836914,0.43641021847724915,-0.8375734090805054,0.0,506.7424066066742
Go1JoystickFlatTerrain,hand_written,3,0.008458299562335014,1.4081512689590454,6.707564830780029,0.22131909430027008,-0.9627680778503418,0.0,529.8923861980438
Go1JoystickFlatTerrain,hand_written,4,0.002374986419454217,1.3009963035583496,2.5803751945495605,0.2021580934524536,-0.9259310960769653,0.0,384.9443998336792
Go1JoystickFlatTerrain,llm_initial,0,1.3838840686730691e-06,-1.3737071752548218,0.00039163650944828987,0.03664457052946091,-1.9227371215820312,0.0,327.40866470336914
Go1JoystickFlatTerrain,llm_initial,1,5.176627126957101e-08,-1.6231260299682617,0.00022780324798077345,0.019494149833917618,-2.2207884788513184,0.0,330.55572605133057
Go1JoystickFlatTerrain,llm_initial,2,1.0411035873403307e-06,-1.4380464553833008,0.0017707145307213068,0.03853372111916542,-2.0224196910858154,0.0,330.1926293373108
Go1JoystickFlatTerrain,llm_initial,3,1.1006853810613393e-06,-1.575432300567627,0.0002983780577778816,0.05538375675678253,-1.73142671585083,0.0,371.90140175819397
Go1JoystickFlatTerrain,llm_initial,4,6.788923769818211e-07,-1.4070345163345337,0.0009290556190535426,0.036852411925792694,-1.9683603048324585,0.0,490.4630904197693
HopperHop,hand_written,0,0.13105729222297668,0.3236781060695648,147.4526824951172,0.1907656341791153,0.6217939853668213,0.0,1169.5011134147644
HopperHop,hand_written,1,0.1295507699251175,0.290266215801239,147.79409790039062,0.19871094822883606,0.9992687702178955,0.0,1280.7064225673676
HopperHop,hand_written,2,0.282247930765152,0.5598700642585754,244.81842041015625,0.3138672113418579,1.0244907140731812,0.0,1305.1236295700073
HopperHop,hand_written,3,0.3509632647037506,0.6679500341415405,358.3179931640625,0.29603123664855957,1.1917450428009033,0.0,1305.9800860881805
HopperHop,hand_written,4,0.13451138138771057,0.3082791566848755,161.82113647460938,0.20534376800060272,1.03914475440979,0.0,1317.1435804367065
HopperHop,llm_initial,0,0.0,0.13824841380119324,0.6470508575439453,0.000601562496740371,0.3322516083717346,0.0,1151.2989621162415
HopperHop,llm_initial,1,0.0,0.12687599658966064,0.42972531914711,0.0004921875661239028,0.3211827874183655,0.0,1152.043087720871
HopperHop,llm_initial,2,0.0,0.11105469614267349,0.6958317160606384,0.0007968750433064997,0.28660571575164795,0.0,1147.350932598114
HopperHop,llm_initial,3,0.0,0.08383744955062866,1.0212712287902832,0.0013203126145526767,0.2963048815727234,0.0,1147.7786650657654
HopperHop,llm_initial,4,0.0,0.09890414774417877,0.5818432569503784,0.0006718750228174031,0.2992498576641083,0.0,1153.3300659656525
WalkerWalk,hand_written,0,0.9263769388198853,2.776873826980591,904.0714111328125,1.0,7.056238174438477,0.0,1375.8430256843567
WalkerWalk,hand_written,1,0.9453459978103638,2.4145989418029785,921.48193359375,1.0,5.832140922546387,0.0,1477.6414625644684
WalkerWalk,hand_written,2,0.9127463102340698,2.308412790298462,881.720947265625,0.9921875,5.600983619689941,0.0,1521.3610861301422
WalkerWalk,hand_written,3,0.9373738169670105,2.4747633934020996,909.6572265625,1.0,6.444375991821289,0.0,1523.6955325603485
WalkerWalk,hand_written,4,0.9238374829292297,2.359774112701416,893.8593139648438,0.9921875,6.563092231750488,0.0,1523.3702778816223
WalkerWalk,llm_initial,0,0.3459346890449524,-1.8067376613616943,342.13848876953125,0.0,4.23001766204834,0.0,1355.5778450965881
WalkerWalk,llm_initial,1,0.1661359816789627,-2.050231456756592,169.93283081054688,0.0,5.373224258422852,0.0,1347.5512464046478
WalkerWalk,llm_initial,2,0.15585067868232727,-2.278276205062866,157.02224731445312,0.046875,3.119655132293701,0.0,1344.531729221344
WalkerWalk,llm_initial,3,0.20209868252277374,-1.9336570501327515,194.10235595703125,0.0,4.281205177307129,0.0,1344.6492373943329
WalkerWalk,llm_initial,4,0.124075748026371,-1.8362661600112915,123.30451965332031,0.0,3.5963590145111084,0.0,1350.0483384132385
